"Burbank"
"Building Documents"
"Download generated on 08/17/2026"
"https://ccpa.burbankca.gov/PublicAccess/cq-search/index.html"

Street No,Street Direction,Street Name,Permit No,Permit Type,Date Issued
1319,N,ONTARIO ST,BS2404368,MECHANICAL,5/14/2024
2943,,OLNEY PL,BS2402940,ELECTRICAL,5/14/2024
1522,,VALLEYHEART DR,BS2404359,ELECTRICAL SERVICE,5/14/2024
1522,,VALLEYHEART DR,BS2403292,ELECTRICAL,5/14/2024
2015,N,FAIRVIEW ST,BS2403532,ELECTRICAL,5/14/2024
942,,DELAWARE RD,BS2404345,SINGLE-FAMILY REPAIR / MAINTENANCE,5/14/2024
4201,W,OLIVE AVE,BS2402651,COMMERCIAL TENANT IMPROVEMENT,5/14/2024
3910,,RIVERSIDE DR,BS2404311,COMMERCIAL REPAIR AND MAINTENANCE,5/14/2024
1083,,HARVARD RD,BS2404317,ELECTRICAL SERVICE,5/13/2024
2706,W,BURBANK BLVD,BS2404310,PLUMBING,5/13/2024
2942,N,KEYSTONE ST,BS2404275,ELECTRICAL,5/13/2024
1010,E,SANTA ANITA AVE,BS2401666,ELECTRICAL,5/13/2024
510,,TOLUCA PARK DR,BS2404322,SINGLE-FAMILY REPAIR / MAINTENANCE,5/13/2024
2121,,FLOYD ST,BS2404312,COMMERCIAL REPAIR AND MAINTENANCE,5/13/2024
937,E,ANGELENO AVE,BS2404319,PLUMBING,5/13/2024
1028,N,BUENA VISTA ST,BS2312520,ACCESSORY DWELLING UNIT,5/13/2024
357,,VICTORY CT,BS2404187,ELECTRICAL SERVICE,5/13/2024
2801,N,MYERS ST,BS2404302,ELECTRICAL SERVICE,5/13/2024
540,N,SPARKS ST,BS2404304,MECHANICAL,5/13/2024
643,,GRINNELL DR,BS2312594,ACCESSORY DWELLING UNIT,5/10/2024
1406,,OAK ST,BS2312129,ACCESSORY DWELLING UNIT,5/10/2024
1414,W,CLARK AVE,BS2311800,ACCESSORY DWELLING UNIT,5/10/2024
3040,N,BUENA VISTA ST,BS2213235,NEW SINGLE-FAMILY DWELLING,5/10/2024
990,,RIVERSIDE DR,BS2404239,MULTI-FAMILY ADDITION AND ALTERATION,5/10/2024
922,E,ANGELENO AVE,BS2023245,SINGLE-FAMILY ADDITION / ALTERATION,5/10/2024
2711,,CHANDLER BLVD,BS2404280,SINGLE-FAMILY REPAIR / MAINTENANCE,5/10/2024
1325,N,LIMA ST,BS2404278,ELECTRICAL SERVICE,5/10/2024
3040,N,BUENA VISTA ST,BS2213236,DEMOLITION,5/10/2024
943,,CORNELL DR,BS2404266,ELECTRICAL,5/10/2024
230,W,ALAMEDA AVE,BS2404256,ELECTRICAL SERVICE,5/10/2024
1100,N,ONTARIO ST,BS2404277,SINGLE-FAMILY REPAIR / MAINTENANCE,5/10/2024
1327,N,ONTARIO ST,BS2404265,ELECTRICAL SERVICE,5/10/2024
434,,BIRMINGHAM RD,BS2402072,POOL/SPA,5/10/2024
2800,,CHANDLER BLVD,BS2404252,SINGLE-FAMILY ADDITION / ALTERATION,5/10/2024
3020,,CLYBOURN AVE,BS2401656,ELECTRICAL,5/10/2024
1110,N,CATALINA ST,BS2308047,DEMOLITION,5/10/2024
2426,N,MYERS ST,BS2309468,ACCESSORY DWELLING UNIT,5/9/2024
2934,,OLNEY PL,BS2310579,SINGLE-FAMILY REPAIR / MAINTENANCE,5/9/2024
10950,,SHERMAN WAY,BS2401901,ELECTRICAL,5/9/2024
427,N,FREDERIC ST,BS2404223,SINGLE-FAMILY ADDITION / ALTERATION,5/9/2024
2547,N,PARISH PL,BS2404229,SINGLE-FAMILY REPAIR / MAINTENANCE,5/9/2024
125,N,VALLEY ST,BS2404227,SINGLE-FAMILY REPAIR / MAINTENANCE,5/9/2024
434,N,FAIRVIEW ST,BS2404224,SINGLE-FAMILY ADDITION / ALTERATION,5/9/2024
10950,,SHERMAN WAY,BS2403607,MECHANICAL,5/9/2024
901,W,ALAMEDA AVE,BS2404218,SITEWORK,5/9/2024
2601,W,ALAMEDA AVE,BS2312510,COMMERCIAL TENANT IMPROVEMENT,5/9/2024
815,N,KENWOOD ST,BS2404232,ELECTRICAL SERVICE,5/9/2024
310,E,CEDAR AVE,BS2404163,MECHANICAL,5/8/2024
1320,N,ORCHARD DR,BS2404193,MECHANICAL,5/8/2024
321,N,REESE PL,BS2404191,MECHANICAL,5/8/2024
531,N,HOLLYWOOD WAY,BS2310102,COMMERCIAL TENANT IMPROVEMENT,5/8/2024
922,N,PARISH PL,BS2404170,ELECTRICAL SERVICE,5/8/2024
333,,ANDOVER DR,BS2404177,MULTI-FAMILY REPAIR AND MAINTENANCE,5/8/2024
333,,ANDOVER DR,BS2404176,MULTI-FAMILY REPAIR AND MAINTENANCE,5/8/2024
3211,W,ALAMEDA AVE,BS2404168,ELECTRICAL SERVICE,5/8/2024
222,N,ROSE ST,BS2404159,MULTI-FAMILY REPAIR AND MAINTENANCE,5/8/2024
3419,W,MAGNOLIA BLVD,BS2308012,MECHANICAL,5/8/2024
1435,N,CATALINA ST,BS2404200,ELECTRICAL SERVICE,5/8/2024
905,S,BEACHWOOD DR,BS2404192,SINGLE-FAMILY REPAIR / MAINTENANCE,5/8/2024
900,,TUFTS AVE,BS2304805,DEMOLITION,5/8/2024
321,N,ORCHARD DR,BS2403729,ELECTRICAL,5/8/2024
3915,,RIVERSIDE DR,BS2404179,COMMERCIAL REPAIR AND MAINTENANCE,5/8/2024
623,N,PARISH PL,BS2404175,SINGLE-FAMILY ADDITION / ALTERATION,5/8/2024
3006,,MESA VERDE DR,BS2404171,SINGLE-FAMILY REPAIR / MAINTENANCE,5/8/2024
4227,,TOLUCA LAKE LANE,BS2404172,SINGLE-FAMILY REPAIR / MAINTENANCE,5/8/2024
411,N,HOLLYWOOD WAY,BS2404119,COMMERCIAL ADDITION AND ALTERATION,5/8/2024
411,N,HOLLYWOOD WAY,BS2404121,ELECTRICAL,5/8/2024
411,N,HOLLYWOOD WAY,BS2404122,PLUMBING,5/8/2024
914,,GRINNELL DR,BS2403702,SINGLE-FAMILY ADDITION / ALTERATION,5/8/2024
1515,,MORNINGSIDE DR,BS2404133,POOL/SPA,5/8/2024
5012,,LEDGE AVE,BS2404158,SINGLE-FAMILY REPAIR / MAINTENANCE,5/8/2024
1051,W,BURBANK BLVD,BS2401459,PLUMBING,5/8/2024
1051,W,BURBANK BLVD,BS2401458,ELECTRICAL,5/8/2024
1051,W,BURBANK BLVD,BS2401457,COMMERCIAL TENANT IMPROVEMENT,5/8/2024
2001,,PEYTON AVE,BS2404139,MULTI-FAMILY REPAIR AND MAINTENANCE,5/7/2024
1300,W,OLIVE AVE,BS2404136,MECHANICAL,5/7/2024
210,N,FAIRVIEW ST,BS2302817,SINGLE-FAMILY ADDITION / ALTERATION,5/7/2024
179,W,VALENCIA AVE,BS2404126,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
181,W,VALENCIA AVE,BS2404125,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
1821,,MONTEREY AVE,BS2404118,ELECTRICAL SERVICE,5/7/2024
1024,N,KEYSTONE ST,BS2404113,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
2718,,SCOTT RD,BS2404106,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
1732,N,BUENA VISTA ST,BS2403921,PLUMBING,5/7/2024
532,S,MARIPOSA ST,BS2404074,MECHANICAL,5/7/2024
1944,,MANNING ST,BS2404124,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
726,N,MAPLE ST,BS2211804,SINGLE-FAMILY ADDITION / ALTERATION,5/7/2024
1021,N,FREDERIC ST,BS2404114,MECHANICAL,5/7/2024
241,W,TUJUNGA AVE,BS2404107,ELECTRICAL SERVICE,5/7/2024
1035,N,SCREENLAND DR,BS2302392,ACCESSORY DWELLING UNIT,5/7/2024
118,S,VIRGINIA AVE,BS2404102,SINGLE-FAMILY REPAIR / MAINTENANCE,5/7/2024
214,W,SANTA ANITA AVE,BS2310240,ACCESSORY DWELLING UNIT,5/6/2024
741,N,KEYSTONE ST,BS2404082,ELECTRICAL SERVICE,5/6/2024
317,N,KENWOOD ST,BS2308432,ACCESSORY DWELLING UNIT,5/6/2024
3100,W,CLARK AVE,BS2302926,SINGLE-FAMILY ADDITION / ALTERATION,5/6/2024
3100,W,CLARK AVE,BS2302922,ACCESSORY DWELLING UNIT,5/6/2024
2706,W,BURBANK BLVD,BS2404056,PLUMBING,5/6/2024
2706,W,BURBANK BLVD,BS2404057,ELECTRICAL,5/6/2024
2706,W,BURBANK BLVD,BS2404058,MECHANICAL,5/6/2024
921,,RIVERSIDE DR,BS2309608,PLUMBING,5/6/2024
1408,,CHANDLER BLVD,BS2404050,SINGLE-FAMILY REPAIR / MAINTENANCE,5/6/2024
124,S,LAKE ST,BS2404047,MECHANICAL,5/6/2024
561,E,ORANGE GROVE AVE,BS2404042,MULTI-FAMILY REPAIR AND MAINTENANCE,5/6/2024
517,N,FLORENCE ST,BS2404037,PLUMBING,5/6/2024
541,N,NIAGARA ST,BS2404038,PLUMBING,5/6/2024
429,,FAIRMOUNT RD,BS2404039,PLUMBING,5/6/2024
1816,,OAK ST,BS2404040,PLUMBING,5/6/2024
1037,N,PASS AVE,BS2404031,SINGLE-FAMILY REPAIR / MAINTENANCE,5/6/2024
1431,N,AVON ST,BS2404030,SINGLE-FAMILY REPAIR / MAINTENANCE,5/6/2024
511,N,FREDERIC ST,BS2404055,POOL/SPA,5/6/2024
1214,,WHITNALL HWY,BS2304328,SINGLE-FAMILY ADDITION / ALTERATION,5/6/2024
1340,,WHITNALL HWY,BS2404049,SINGLE-FAMILY REPAIR / MAINTENANCE,5/6/2024
3207,,SCOTT RD,BS2308715,ACCESSORY DWELLING UNIT,5/6/2024
943,,CORNELL DR,BS2404048,ELECTRICAL SERVICE,5/6/2024
711,E,TUJUNGA AVE,BS2212922,ACCESSORY DWELLING UNIT,5/3/2024
1818,,KAREN ST,BS2404009,SINGLE-FAMILY REPAIR / MAINTENANCE,5/3/2024
121,N,PARISH PL,BS2404008,MULTI-FAMILY REPAIR AND MAINTENANCE,5/3/2024
111,E,LINDEN AVE,BS2404005,COMMERCIAL REPAIR AND MAINTENANCE,5/3/2024
1112,N,MYERS ST,BS2403993,SINGLE-FAMILY REPAIR / MAINTENANCE,5/3/2024
175,E,OLIVE AVE,BS2403991,MECHANICAL,5/3/2024
175,E,OLIVE AVE,BS2403990,COMMERCIAL REPAIR AND MAINTENANCE,5/3/2024
911,N,VALLEY ST,BS2403987,ELECTRICAL SERVICE,5/3/2024
232,W,ALAMEDA AVE,BS2308695,ACCESSORY DWELLING UNIT,5/3/2024
1517,,PEPPER ST,BS2403989,SINGLE-FAMILY ADDITION / ALTERATION,5/3/2024
624,S,SAN FERNANDO BLVD,BS2303753,COMMERCIAL TENANT IMPROVEMENT,5/3/2024
624,S,SAN FERNANDO BLVD,BS2303761,MECHANICAL,5/3/2024
624,S,SAN FERNANDO BLVD,BS2303757,PLUMBING,5/3/2024
2401,N,MYERS ST,BS2402061,ELECTRICAL,5/3/2024
3116,W,MAGNOLIA BLVD,BS2309530,COMMERCIAL TENANT IMPROVEMENT,5/3/2024
914,N,PARISH PL,BS2310119,SINGLE-FAMILY ADDITION / ALTERATION,5/3/2024
1080,,WALNUT AVE,BS2403999,ELECTRICAL,5/3/2024
2837,N,HOLLYWOOD WAY,BS2401619,GRADING & SHORING,5/3/2024
347,N,MARIPOSA ST,BS2403992,ELECTRICAL,5/3/2024
1405,N,CATALINA ST,BS2403988,ELECTRICAL SERVICE,5/3/2024
4403,,WOODLAND AVE,BS2400116,SINGLE-FAMILY ADDITION / ALTERATION,5/3/2024
1939,N,PARISH PL,BS2403985,MULTI-FAMILY REPAIR AND MAINTENANCE,5/3/2024
1141,N,SCREENLAND DR,BS2403956,MULTI-FAMILY REPAIR AND MAINTENANCE,5/2/2024
450,N,GLENWOOD PL,BS2403966,MULTI-FAMILY REPAIR AND MAINTENANCE,5/2/2024
513,N,FLORENCE ST,BS2403950,SINGLE-FAMILY REPAIR / MAINTENANCE,5/2/2024
2427,N,LAMER ST,BS2403949,SINGLE-FAMILY REPAIR / MAINTENANCE,5/2/2024
520,,ETON DR,BS2402688,ELECTRICAL,5/2/2024
1441,N,KEYSTONE ST,BS2403971,ELECTRICAL SERVICE,5/2/2024
2827,N,HOLLYWOOD WAY,BS2311055,NEW COMMERCIAL STRUCTURE,5/2/2024
2827,N,HOLLYWOOD WAY,BS2310431,GRADING & SHORING,5/2/2024
801,,TUFTS AVE,BS2311362,ACCESSORY DWELLING UNIT,5/2/2024
1501,W,OLIVE AVE,BS2401468,SIGN,5/2/2024
237,S,REESE PL,BS2403955,ELECTRICAL,5/2/2024
237,S,REESE PL,BS2403954,ELECTRICAL SERVICE,5/2/2024
1729,N,LIMA ST,BS2403948,SINGLE-FAMILY ADDITION / ALTERATION,5/2/2024
3537,,VIEWCREST DR,BS2307530,SINGLE-FAMILY ADDITION / ALTERATION,5/2/2024
1200,N,ONTARIO ST,BS2308153,ACCESSORY DWELLING UNIT,5/1/2024
920,,UNIVERSITY AVE,BS2208582,ACCESSORY DWELLING UNIT,5/1/2024
3304,W,BURBANK BLVD,BS2401549,SIGN,5/1/2024
513,N,FLORENCE ST,BS2403932,ELECTRICAL SERVICE,5/1/2024
410,S,VICTORY BLVD,BS2310347,SIGN,5/1/2024
412,S,VICTORY BLVD,BS2312295,SIGN,5/1/2024
2400,,EMPIRE AVE,BS2403320,COMMERCIAL ADDITION AND ALTERATION,5/1/2024
822,,HARVARD RD,BS2403919,SINGLE-FAMILY REPAIR / MAINTENANCE,5/1/2024
900,W,ALAMEDA AVE,BS2403564,SIGN,5/1/2024
411,N,HOLLYWOOD WAY,BS2402350,NEW COMMERCIAL STRUCTURE,5/1/2024
411,N,HOLLYWOOD WAY,BS2402352,NEW COMMERCIAL STRUCTURE,5/1/2024
411,N,HOLLYWOOD WAY,BS2402353,NEW COMMERCIAL STRUCTURE,5/1/2024
411,N,HOLLYWOOD WAY,BS2402354,NEW COMMERCIAL STRUCTURE,5/1/2024
221,N,THIRD ST,BS2403930,COMMERCIAL REPAIR AND MAINTENANCE,5/1/2024
1716,N,LINCOLN ST,BS2403925,SINGLE-FAMILY REPAIR / MAINTENANCE,5/1/2024
425,N,BUENA VISTA ST,BS2403917,SINGLE-FAMILY ADDITION / ALTERATION,5/1/2024
316,N,CATALINA ST,BS2403901,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
1011,,DINCARA RD,BS2403899,ELECTRICAL,4/30/2024
313,W,LINDEN AVE,BS2403898,ELECTRICAL SERVICE,4/30/2024
1924,N,KENNETH RD,BS2403894,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
427,N,FREDERIC ST,BS2403842,SINGLE-FAMILY ADDITION / ALTERATION,4/30/2024
627,N,PASS AVE,BS2403887,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
207,S,VALLEY ST,BS2309001,POOL/SPA,4/30/2024
207,S,VALLEY ST,BS2401274,DEMOLITION,4/30/2024
1631,N,LINCOLN ST,BS2403871,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
226,S,KEYSTONE ST,BS2403867,ELECTRICAL SERVICE,4/30/2024
1224,N,FAIRVIEW ST,BS2403891,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
1190,,COUNTRY CLUB DR,BS2403890,SINGLE-FAMILY REPAIR / MAINTENANCE,4/30/2024
530,E,SAN JOSE AVE,BS2403888,ELECTRICAL,4/30/2024
1022,W,BURBANK BLVD,BS2303707,COMMERCIAL TENANT IMPROVEMENT,4/30/2024
215,N,ORCHARD DR,BS2403856,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
401,,UNIVERSITY AVE,BS2403854,ELECTRICAL SERVICE,4/29/2024
516,,GRINNELL DR,BS2403847,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
1306,N,PASS AVE,BS2304661,ACCESSORY DWELLING UNIT,4/29/2024
627,N,BEACHWOOD DR,BS2403837,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
421,E,SANTA ANITA AVE,BS2403846,PLUMBING,4/29/2024
906,N,AVON ST,BS2403845,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
1200,N,SIXTH ST,BS2403840,ELECTRICAL,4/29/2024
721,N,MAPLE ST,BS2403821,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
241,N,SPARKS ST,BS2403817,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
534,S,BEACHWOOD DR,BS2403822,SINGLE-FAMILY REPAIR / MAINTENANCE,4/29/2024
1814,,JACKSON ST,BS2403777,ELECTRICAL,4/26/2024
3127,N,NAOMI ST,BS2403784,ELECTRICAL SERVICE,4/26/2024
3009,,VALLEYHEART DR,BS2112495,SINGLE-FAMILY ACCESSORY BUILDING,4/26/2024
1833,N,NIAGARA ST,BS2403775,SINGLE-FAMILY REPAIR / MAINTENANCE,4/26/2024
350,S,SAN FERNANDO BLVD,BS2400749,POOL/SPA,4/26/2024
406,,TUFTS AVE,BS2403794,SINGLE-FAMILY REPAIR / MAINTENANCE,4/26/2024
3313,,WEDGEWOOD LANE,BS2400258,ELECTRICAL,4/26/2024
316,S,REESE PL,BS2402649,ELECTRICAL,4/26/2024
201,S,GRIFFITH PARK DR,BS2403785,ELECTRICAL,4/26/2024
1606,N,ROSE ST,BS2403756,MECHANICAL,4/25/2024
237,S,REESE PL,BS2403741,SINGLE-FAMILY ADDITION / ALTERATION,4/25/2024
505,,HAMPTON RD,BS2207952,ACCESSORY DWELLING UNIT,4/25/2024
269,E,PALM AVE,BS2400805,COMMERCIAL ADDITION AND ALTERATION,4/25/2024
1913,W,MAGNOLIA BLVD,BS2403763,SINGLE-FAMILY REPAIR / MAINTENANCE,4/25/2024
1821,N,KENWOOD ST,BS2403759,SINGLE-FAMILY REPAIR / MAINTENANCE,4/25/2024
134,S,BRIGHTON ST,BS2403754,SINGLE-FAMILY REPAIR / MAINTENANCE,4/25/2024
2101,N,KENWOOD ST,BS2403749,ELECTRICAL SERVICE,4/25/2024
434,N,FLORENCE ST,BS2403748,MEP COMBO,4/25/2024
123,S,REESE PL,BS2403746,ELECTRICAL SERVICE,4/25/2024
3028,,SCOTT RD,BS2110902,SINGLE-FAMILY ADDITION / ALTERATION,4/25/2024
1830,N,MAPLE ST,BS2208687,SINGLE-FAMILY ADDITION / ALTERATION,4/25/2024
817,E,ANGELENO AVE,BS2403711,PLUMBING,4/24/2024
230,S,KEYSTONE ST,BS2403707,ELECTRICAL SERVICE,4/24/2024
777,N,FRONT ST,BS2400143,NEW COMMERCIAL STRUCTURE,4/24/2024
777,N,FRONT ST,BS2400142,ELECTRICAL,4/24/2024
777,N,FRONT ST,BS2400141,NEW COMMERCIAL STRUCTURE,4/24/2024
777,N,FRONT ST,BS2400140,ELECTRICAL,4/24/2024
820,N,LAMER ST,BS2403714,ELECTRICAL SERVICE,4/24/2024
721,N,FLORENCE ST,BS2403696,SINGLE-FAMILY ADDITION / ALTERATION,4/24/2024
1323,N,SPARKS ST,BS2403694,SINGLE-FAMILY ADDITION / ALTERATION,4/24/2024
2410,W,MAGNOLIA BLVD,BS2403693,COMMERCIAL REPAIR AND MAINTENANCE,4/24/2024
802,E,ANGELENO AVE,BS2303260,DEMOLITION,4/24/2024
802,E,ANGELENO AVE,BS2312290,SITEWORK,4/24/2024
212,S,KENNETH RD,BS2303261,ACCESSORY DWELLING UNIT,4/24/2024
3601,W,OLIVE AVE,BS2401204,COMMERCIAL TENANT IMPROVEMENT,4/24/2024
1412,N,AVON ST,BS2209552,ACCESSORY DWELLING UNIT,4/23/2024
402,N,CATALINA ST,BS2206949,ACCESSORY DWELLING UNIT,4/23/2024
1021,W,CLARK AVE,BS2204817,ACCESSORY DWELLING UNIT,4/23/2024
319,N,HOLLYWOOD WAY,BS2403665,MECHANICAL,4/23/2024
2011,,PEYTON AVE,BS2403654,ELECTRICAL SERVICE,4/23/2024
1058,E,PALM AVE,BS2403660,ELECTRICAL SERVICE,4/23/2024
810,,WALNUT AVE,BS2403647,SITEWORK,4/23/2024
1836,N,KENWOOD ST,BS2403643,SINGLE-FAMILY REPAIR / MAINTENANCE,4/23/2024
3405,W,VERDUGO AVE,BS2403641,MULTI-FAMILY ADDITION AND ALTERATION,4/23/2024
915,N,LIMA ST,BS2311592,SINGLE-FAMILY ADDITION / ALTERATION,4/23/2024
1205,E,TUJUNGA AVE,BS2403627,PLUMBING,4/23/2024
549,E,TUJUNGA AVE,BS2403074,ELECTRICAL,4/23/2024
3006,,MESA VERDE DR,BS2403648,ELECTRICAL SERVICE,4/23/2024
1035,E,SPAZIER AVE,BS2403637,SINGLE-FAMILY REPAIR / MAINTENANCE,4/23/2024
927,N,ONTARIO ST,BS2403632,SINGLE-FAMILY REPAIR / MAINTENANCE,4/23/2024
1505,,PARKSIDE AVE,BS2403634,SINGLE-FAMILY REPAIR / MAINTENANCE,4/23/2024
442,E,SANTA ANITA AVE,BS2403655,ELECTRICAL,4/23/2024
611,N,GRIFFITH PARK DR,BS2403658,ELECTRICAL SERVICE,4/23/2024
611,N,GRIFFITH PARK DR,BS2403078,ELECTRICAL,4/23/2024
2412,N,SIXTH ST,BS2403645,ELECTRICAL,4/23/2024
2412,N,SIXTH ST,BS2403644,ELECTRICAL SERVICE,4/23/2024
423,N,CATALINA ST,BS2403629,GRADING & SHORING,4/23/2024
907,,IRVING DR,BS2204889,POOL/SPA,4/23/2024
4200,,MC FARLANE AVE,BS2403572,SINGLE-FAMILY REPAIR / MAINTENANCE,4/22/2024
1806,,RIVERSIDE DR,BS2403591,SINGLE-FAMILY ADDITION / ALTERATION,4/22/2024
414,E,VALENCIA AVE,BS2307614,MULTI-FAMILY REPAIR AND MAINTENANCE,4/22/2024
221,N,LINCOLN ST,BS2403596,ELECTRICAL SERVICE,4/22/2024
2501,N,HOLLYWOOD WAY,BS2401745,SIGN,4/22/2024
1101,N,FAIRVIEW ST,BS2401355,SINGLE-FAMILY ADDITION / ALTERATION,4/22/2024
520,,FAIRMOUNT RD,BS2303772,DEMOLITION,4/22/2024
520,,FAIRMOUNT RD,BS2303771,SINGLE-FAMILY ACCESSORY BUILDING,4/22/2024
520,,FAIRMOUNT RD,BS2303769,SINGLE-FAMILY ADDITION / ALTERATION,4/22/2024
1111,,DINCARA RD,BS2403587,MECHANICAL,4/22/2024
1103,S,LAKE ST,BS2403583,MULTI-FAMILY ADDITION AND ALTERATION,4/22/2024
333,,ANDOVER DR,BS2403428,SINGLE-FAMILY REPAIR / MAINTENANCE,4/22/2024
2820,N,ONTARIO ST,BS2400406,COMMERCIAL REPAIR AND MAINTENANCE,4/22/2024
1062,E,VERDUGO AVE,BS2403580,ELECTRICAL,4/22/2024
2559,N,LINCOLN ST,BS2403574,ELECTRICAL SERVICE,4/22/2024
2706,W,BURBANK BLVD,BS2310975,COMMERCIAL TENANT IMPROVEMENT,4/22/2024
615,N,NIAGARA ST,BS2403570,SINGLE-FAMILY REPAIR / MAINTENANCE,4/22/2024
920,,GRINNELL DR,BS2205635,DEMOLITION,4/22/2024
2212,,MANNING ST,BS2403571,SINGLE-FAMILY REPAIR / MAINTENANCE,4/22/2024
420,S,REESE PL,BS2403562,SINGLE-FAMILY ADDITION / ALTERATION,4/22/2024
519,E,PROVIDENCIA AVE,BS2403560,MULTI-FAMILY REPAIR AND MAINTENANCE,4/22/2024
707,,AMHERST DR,BS2403559,SINGLE-FAMILY REPAIR / MAINTENANCE,4/22/2024
3116,W,MAGNOLIA BLVD,BS2400525,MECHANICAL,4/22/2024
1922,N,FAIRVIEW ST,BS2403539,MECHANICAL,4/19/2024
2100,,EMPIRE AVE,BS2307274,ELECTRICAL,4/19/2024
139,S,BEACHWOOD DR,BS2403531,ELECTRICAL SERVICE,4/19/2024
3423,,WEDGEWOOD LANE,BS2208059,POOL/SPA,4/19/2024
2332,N,CATALINA ST,BS2403530,SINGLE-FAMILY ADDITION / ALTERATION,4/19/2024
2011,W,MAGNOLIA BLVD,BS2403519,COMMERCIAL TENANT IMPROVEMENT,4/19/2024
1025,N,KENWOOD ST,BS2208382,SINGLE-FAMILY ADDITION / ALTERATION,4/19/2024
271,E,ORANGE GROVE AVE,BS2403540,COMMERCIAL REPAIR AND MAINTENANCE,4/19/2024
2813,W,CLARK AVE,BS2403537,SINGLE-FAMILY REPAIR / MAINTENANCE,4/19/2024
916,,EVERGREEN ST,BS2306466,ACCESSORY DWELLING UNIT,4/19/2024
810,N,BEACHWOOD DR,BS2401664,ELECTRICAL,4/19/2024
619,,ANDOVER DR,BS2403517,SINGLE-FAMILY ADDITION / ALTERATION,4/19/2024
2109,N,LAMER ST,BS2403221,SINGLE-FAMILY ADDITION / ALTERATION,4/19/2024
2130,N,GLENOAKS BLVD,BS2403492,PLUMBING,4/19/2024
10970,,SHERMAN WAY,BS2312637,COMMERCIAL TENANT IMPROVEMENT,4/18/2024
1711,N,VICTORY PL,BS2403489,PLUMBING,4/18/2024
113,E,ALAMEDA AVE,BS2403490,PLUMBING,4/18/2024
2555,N,HOLLYWOOD WAY,BS2403491,PLUMBING,4/18/2024
1190,W,ALAMEDA AVE,BS2403493,PLUMBING,4/18/2024
1520,W,OLIVE AVE,BS2403494,PLUMBING,4/18/2024
3714,W,VERDUGO AVE,BS2403495,PLUMBING,4/18/2024
4207,,RIVERSIDE DR,BS2403496,PLUMBING,4/18/2024
347,N,PASS AVE,BS2403497,PLUMBING,4/18/2024
899,N,ORCHARD DR,BS2308213,ELECTRICAL,4/18/2024
2037,,PEPPER ST,BS2403477,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
333,S,VIRGINIA AVE,BS2403475,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
10970,,SHERMAN WAY,BS2400240,MECHANICAL,4/18/2024
10970,,SHERMAN WAY,BS2400241,ELECTRICAL,4/18/2024
10970,,SHERMAN WAY,BS2400242,PLUMBING,4/18/2024
1618,,TULARE AVE,BS2402770,ELECTRICAL,4/18/2024
2601,W,ALAMEDA AVE,BS2303208,PLUMBING,4/18/2024
2601,W,ALAMEDA AVE,BS2303204,MECHANICAL,4/18/2024
2601,W,ALAMEDA AVE,BS2303205,ELECTRICAL,4/18/2024
1625,,THURBER PL,BS2403468,ELECTRICAL SERVICE,4/18/2024
1015,,BETHANY RD,BS2309760,SINGLE-FAMILY ADDITION / ALTERATION,4/18/2024
401,S,BEACHWOOD DR,BS2403459,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
423,,WALNUT AVE,BS2403453,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
319,N,LAKE ST,BS2401650,ELECTRICAL,4/18/2024
848,,UNIVERSITY AVE,BS2403483,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
1150,N,VICTORY PL,BS2403440,SITEWORK,4/18/2024
2911,,CHANDLER BLVD,BS2403469,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
2128,N,BRIGHTON ST,BS2403473,ELECTRICAL SERVICE,4/18/2024
501,,TUFTS AVE,BS2403460,ELECTRICAL SERVICE,4/18/2024
1239,N,LAMER ST,BS2403456,SINGLE-FAMILY REPAIR / MAINTENANCE,4/18/2024
10950,,SHERMAN WAY,BS2403444,PLUMBING,4/17/2024
121,,PROSPECT AVE,BS2008152,COMMERCIAL TENANT IMPROVEMENT,4/17/2024
222,N,CALIFORNIA ST,BS2112978,SINGLE-FAMILY ADDITION / ALTERATION,4/17/2024
222,N,CALIFORNIA ST,BS2112976,NEW SINGLE-FAMILY DWELLING,4/17/2024
